ort,plz,price_per_m2,date_posted
Ritterhude,27721,2468.35,2025-10-13
Ritterhude,27721,2735.45,2025-10-13
Ritterhude,27721,2054.35,2025-10-09
Ritterhude,27721,2474.23,2025-10-05
Ritterhude,27721,4540.0,2025-10-02
Ritterhude,27721,1903.16,2025-09-29
Ritterhude,27721,2487.5,2025-09-28
Ritterhude,27721,1884.21,2025-09-23
Ritterhude,27721,1931.03,2025-09-20
Ritterhude,27721,1685.76,2025-08-27
Ritterhude,28717,2797.62,2025-08-03
Ritterhude,28717,3145.45,2025-10-18
Ritterhude,28717,2081.4,2025-10-14
Ritterhude,28717,3305.56,2025-10-13
Ritterhude,28717,4680.85,2025-10-11
Ritterhude,28717,2371.79,2025-10-11
Ritterhude,28717,2239.58,2025-10-09
Ritterhude,28717,,2025-10-08
Ritterhude,28717,2489.58,2025-10-05
Ritterhude,28717,2226.9,2025-10-03
