plz,min_preis,max_preis,avg_offiziell,anzahl_strassen
27568,1750.0,3000.0,3000.0,18
27580,3000.0,3000.0,1800.0,2
28195,3000.0,4900.0,4200.0,200
28197,1900.0,3250.0,2600.0,253
28199,2600.0,4200.0,3550.0,135
28201,2200.0,3750.0,3550.0,186
28203,3600.0,4800.0,3000.0,137
28205,3000.0,4250.0,3800.0,99
28207,2550.0,3300.0,2600.0,83
28209,3000.0,4750.0,3900.0,63
28211,1900.0,4400.0,3900.0,80
28213,3000.0,4450.0,3000.0,96
28215,1600.0,3900.0,3350.0,122
28217,1600.0,3900.0,3250.0,186
28219,1850.0,4050.0,3250.0,305
28237,1900.0,4200.0,2450.0,219
28239,1900.0,3250.0,2200.0,149
28259,1950.0,2600.0,2250.0,231
28277,1700.0,3550.0,3000.0,132
28279,2550.0,3550.0,3000.0,201
28307,2150.0,3350.0,2600.0,190
28309,2250.0,4200.0,2600.0,192
28325,2300.0,3250.0,2500.0,93
28327,2150.0,3250.0,2500.0,88
28329,1750.0,4100.0,3000.0,142
28355,2900.0,3850.0,3000.0,116
28357,1800.0,3750.0,3000.0,193
28359,1900.0,3800.0,3000.0,103
28717,2150.0,2900.0,3000.0,117
28719,2050.0,3250.0,2450.0,110
28755,1750.0,3000.0,3000.0,126
28757,2050.0,3000.0,3000.0,141
28759,1750.0,2750.0,3000.0,125
28777,1550.0,3000.0,1750.0,134
28779,1750.0,3000.0,3000.0,133
28876,2600.0,2600.0,2600.0,1
27721,2000.0,2700.0,2350.0,1234
28865,,,2800.0,1234
